# m=0, S=4
4.10446 -0.820831
4.15974 -0.851135
4.21502 -0.878839
4.2703 -0.903858
4.32558 -0.926116
4.38085 -0.945544
4.43613 -0.962084
4.49141 -0.975684
4.54669 -0.986304
4.60197 -0.99391
4.65725 -0.99848
4.71253 -1
4.76781 -0.998465
4.82309 -0.993879
4.87837 -0.986257
4.93365 -0.975622
4.98893 -0.962006
5.04421 -0.945452
5.09949 -0.926009
5.15476 -0.903737
5.21004 -0.878705
5.26532 -0.850987
5.3206 -0.82067
5.37588 -0.787846
5.43116 -0.752616
5.48644 -0.715085
5.54172 -0.675371
5.597 -0.633593
5.65228 -0.589879
5.70755 -0.544364
5.76283 -0.497185
5.81811 -0.448488
5.87339 -0.39842
5.92867 -0.347136
5.98395 -0.294791
6.03923 -0.241545
6.09451 -0.187561
6.14979 -0.133005
6.20506 -0.0780418
6.26034 -0.0228406
6.31562 0.0324304
6.3709 0.0876023
6.42618 0.142507
6.48146 0.196975
6.53674 0.250843
6.59201 0.303943
6.64729 0.356116
6.70257 0.4072
6.75785 0.45704
6.81313 0.505484
6.86841 0.552384
6.92369 0.597597
6.97896 0.640983
7.03424 0.682412
7.08952 0.721756
7.1448 0.758894
7.20008 0.793715
7.25536 0.826111
7.31063 0.855983
7.36591 0.88324
7.42119 0.907799
7.47647 0.929584
7.53175 0.94853
7.58703 0.964578
7.6423 0.97768
7.69758 0.987794
7.75286 0.994892
7.80814 0.998949
7.86342 0.999955
7.91869 0.997907
7.97397 0.99281
8.02925 0.98468
8.08453 0.973542
8.13981 0.95943
8.19508 0.942387
8.25036 0.922465
8.30564 0.899725
8.36092 0.874236
8.4162 0.846077
8.47147 0.815333
8.52675 0.782099
8.58203 0.746475
8.63731 0.708571
8.69258 0.668503
8.74786 0.626392
8.80314 0.582368
8.85842 0.536564
8.9137 0.489122
8.96897 0.440185
9.02425 0.389904
9.07953 0.338432
9.13481 0.285926
9.19008 0.232546
9.24536 0.178456
9.30064 0.123821
9.35592 0.0688079
9.41119 0.0135844
9.46647 -0.0416806
9.52175 -0.0968182
9.57703 -0.15166
9.6323 -0.206039
9.68758 -0.259788
9.74286 -0.312743
9.79813 -0.364743
9.85341 -0.415629
9.90869 -0.465245
9.96397 -0.51344
10.0192 -0.560066
10.0745 -0.604982
10.1298 -0.648049
10.1851 -0.689137
10.2404 -0.72812
10.2956 -0.764878
10.3509 -0.7993
10.4062 -0.83128
10.4615 -0.86072
10.5167 -0.887532
10.572 -0.911632
10.6273 -0.932947
10.6826 -0.951413
10.7378 -0.966972
10.7931 -0.979577
10.8484 -0.989189
10.9037 -0.99578
10.959 -0.99933
11.0142 -0.999826
11.0695 -0.997268
11.1248 -0.991664
11.1801 -0.983031
11.2353 -0.971394
11.2906 -0.95679
11.3459 -0.939264
11.4012 -0.918868
11.4564 -0.895666
11.5117 -0.869727
11.567 -0.841132
11.6223 -0.809967
11.6776 -0.776328
11.7328 -0.740318
11.7881 -0.702046
11.8434 -0.661629
11.8987 -0.619192
11.9539 -0.574863
12.0092 -0.528778
12.0645 -0.481078
12.1198 -0.431908
12.175 -0.381419
12.2303 -0.329765
12.2856 -0.277104
12.3409 -0.223596
12.3961 -0.169405
12.4514 -0.114696
12.5067 -0.0596378
12.562 -0.0043969
12.6172 0.0508574
12.6725 0.105956
12.7278 0.160731
12.7831 0.215016
12.8384 0.268643
12.8936 0.32145
12.9489 0.373275
13.0042 0.423959
13.0595 0.473349
13.1147 0.521292
13.17 0.567643
13.2253 0.61226
13.2806 0.655007
13.3358 0.695753
13.3911 0.734374
13.4464 0.770752
13.5017 0.804775
13.5569 0.83634
13.6122 0.86535
13.6675 0.891716
13.7228 0.915359
13.778 0.936206
13.8333 0.954193
13.8886 0.969265
13.9439 0.981377
13.9991 0.990491
14.0544 0.996579
14.1097 0.999623
14.165 0.999613
14.2203 0.99655
14.2755 0.990444
14.3308 0.981311
14.3861 0.969181
14.4414 0.954091
14.4966 0.936086
14.5519 0.915222
14.6072 0.891562
14.6625 0.865179
14.7177 0.836154
14.773 0.804574
14.8283 0.770536
14.8836 0.734145
14.9388 0.695511
14.9941 0.654753
15.0494 0.611995
15.1047 0.567367
15.1599 0.521007
15.2152 0.473055
15.2705 0.423658
15.3258 0.372967
15.381 0.321137
15.4363 0.268325
15.4916 0.214695
15.5469 0.160408
15.6021 0.105632
15.6574 0.0505324
15.7127 -0.00472112
15.768 -0.0599602
15.8232 -0.115016
15.8785 -0.169721
15.9338 -0.223907
15.9891 -0.277409
16.0443 -0.330063
16.0996 -0.38171
16.1549 -0.432191
16.2102 -0.481351
16.2654 -0.529041
16.3207 -0.575115
